ID,Bathrooms,Bedrooms,Erf Size,Garages,ID,Listing Date,Price,Type of Property,Location
54,3.0,4.0,889 m²,2.0,1242,2019-09-17,1890000.0,House,"lat: 51.5073509,long: -0.1277583"
55,,4.0,619 m²,2.0,1243,2019-09-10,4280000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
56,2.0,5.0,1 983 m²,2.0,1256,2019-09-16,3700000.0,House,"lat: 51.5073509,long: -0.1277583"
57,1.0,2.0,72 m²,,1260,2019-10-18,725000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
58,2.0,3.0,133 m²,,1264,2019-10-29,1175000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
59,2.0,3.0,56 m²,,1266,2019-09-05,816000.0,House,"lat: 51.5073509,long: -0.1277583"
60,1.0,2.0,50 m²,,1268,2019-10-04,566090.0,House,"lat: 51.5073509,long: -0.1277583"
61,3.0,5.0,992 m²,,1273,2019-10-28,2400000.0,House,"lat: 51.5073509,long: -0.1277583"
62,4.0,4.0,350 m²,2.0,1275,2019-09-17,3050000.0,House,"lat: 51.5073509,long: -0.1277583"
63,1.0,1.0,48 m²,,1276,2019-10-07,600000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
64,2.0,3.0,299 m²,,1277,2019-09-19,1150000.0,House,"lat: 51.5073509,long: -0.1277583"
65,2.0,3.0,,,1278,2019-10-28,1190000.0,House,"lat: 51.5073509,long: -0.1277583"
66,,5.0,1261 m²,3.0,1280,2019-09-18,3200000.0,House,"lat: 51.5073509,long: -0.1277583"
67,2.0,2.0,97 m²,,1283,2019-10-12,1050000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
68,2.0,5.0,320 m²,2.0,1285,2018-09-11,2400000.0,House,"lat: 51.5073509,long: -0.1277583"
69,3.0,4.0,1 080 m²,,1289,2019-09-18,1499000.0,House,"lat: 51.5073509,long: -0.1277583"
70,4.0,4.0,,2.0,1299,2019-11-05,3000000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
71,2.0,3.0,,2.0,1300,2019-11-05,1450000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
72,1.0,2.0,50 m²,,1302,2019-09-18,605480.0,House,"lat: 51.5073509,long: -0.1277583"
73,1.0,2.0,73 m²,,1303,2019-10-29,749000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
74,1.0,3.0,55 m²,,1304,2019-09-04,804905.0,House,"lat: 51.5073509,long: -0.1277583"
75,2.0,3.0,363 m²,2.0,1310,2019-11-02,1590000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
76,2.0,3.0,900 m²,2.0,1314,2019-10-11,1950000.0,House,"lat: 51.5073509,long: -0.1277583"
77,,3.0,,3.0,1315,2019-09-09,1595000.0,House,"lat: 51.5073509,long: -0.1277583"
78,1.0,3.0,55 m²,,1319,2019-08-09,804905.0,House,"lat: 51.5073509,long: -0.1277583"
79,3.0,5.0,,3.0,1320,2019-10-04,1990000.0,House,"lat: 51.5073509,long: -0.1277583"
80,,3.0,,2.0,1322,2019-09-27,1895000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
81,2.0,4.0,,2.0,1332,2019-10-10,2800000.0,House,"lat: 51.5073509,long: -0.1277583"
82,2.0,2.0,98 m²,1.0,1334,2019-09-02,880000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
83,2.0,3.0,184 m²,1.0,1335,2019-09-11,1650000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
84,2.0,3.0,185 m²,2.0,1336,2019-10-03,1599000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
85,2.0,3.0,56 m²,,1339,2019-09-12,816000.0,House,"lat: 51.5073509,long: -0.1277583"
86,3.0,4.0,300 m²,2.0,1341,2019-09-04,2695000.0,House,"lat: 51.5073509,long: -0.1277583"
87,2.0,3.0,112 m²,1.0,1350,2019-10-14,880000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
88,,,325 m²,,1354,2019-09-17,1695000.0,House,"lat: 51.5073509,long: -0.1277583"
89,2.0,3.0,60 m²,,1361,2019-10-02,565000.0,House,"lat: 51.5073509,long: -0.1277583"
90,1.0,2.0,,,1366,2019-11-06,650000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
91,1.0,2.0,74 m²,,1371,2019-10-13,770000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
92,2.0,2.0,99 m²,,1374,2019-09-06,820000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
93,5.0,5.0,1100 m²,4.0,1376,2019-08-20,14999000.0,House,"lat: 51.5073509,long: -0.1277583"
94,2.0,3.0,160 m²,2.0,1381,2019-10-26,1620000.0,House,"lat: 51.5073509,long: -0.1277583"
95,3.0,3.0,255 m²,1.0,1382,2019-10-17,2195000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
96,3.0,4.0,800 m²,2.0,1387,2019-10-18,950000.0,House,"lat: 51.5073509,long: -0.1277583"
97,2.0,3.0,,1.0,1392,2019-11-06,1300000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
98,3.0,3.0,,2.0,1395,2019-10-17,2495000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
99,2.0,3.0,305 m²,2.0,1397,2019-10-14,1950000.0,House,"lat: 51.5073509,long: -0.1277583"
100,2.0,3.0,1 687 m²,2.0,1399,2019-09-11,1770000.0,House,"lat: 51.5073509,long: -0.1277583"
101,2.0,2.0,72 m²,,1401,2019-09-27,759000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
102,1.0,2.0,35290 m²,,1409,2019-09-03,710000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
103,2.0,3.0,99 m²,1.0,1413,2019-09-15,1075000.0,House,"lat: 51.5073509,long: -0.1277583"
104,,4.0,,2.0,1429,2019-10-16,3250000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
105,,4.0,537 m²,2.0,1432,2019-09-06,4999000.0,House,"lat: 51.5073509,long: -0.1277583"
106,,4.0,603 m²,2.0,1434,2019-09-25,6300000.0,House,"lat: 51.5073509,long: -0.1277583"
107,3.0,3.0,1 080 m²,2.0,1435,2019-08-27,3500000.0,House,"lat: 51.5073509,long: -0.1277583"
108,2.0,3.0,,,1438,2019-10-31,1280000.0,House,"lat: 51.5073509,long: -0.1277583"
109,2.0,2.0,72 m²,,1441,2019-10-09,790000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
110,2.0,4.0,990 m²,,1443,2019-10-31,1120000.0,House,"lat: 51.5073509,long: -0.1277583"
